                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    119,                0.50445,                0.37661,                0.93626,                0.92257,                0.79834,                0.85924,                0.77016,                0.52253,                0.49456,                0.92516,             4.9076e-05,             4.9076e-05,             4.9076e-05
                    120,                0.49935,                0.37022,                0.93587,                0.94098,                0.79534,                0.86334,                0.77309,                0.52178,                0.49076,                0.93105,             4.8492e-05,             4.8492e-05,             4.8492e-05
                    121,                0.50837,                 0.3743,                0.94224,                0.93697,                0.80022,                0.86405,                0.77364,                0.52295,                0.49509,                0.93315,             4.7908e-05,             4.7908e-05,             4.7908e-05
                    122,                0.49605,                0.36333,                0.93373,                0.93748,                0.79433,                0.86276,                0.77421,                0.51622,                0.49501,                 0.9286,             4.7324e-05,             4.7324e-05,             4.7324e-05
                    123,                0.50062,                 0.3668,                0.93437,                0.93289,                0.79874,                0.86045,                0.77419,                0.51587,                 0.4844,                0.92629,              4.674e-05,              4.674e-05,              4.674e-05
                    124,                0.49297,                0.36724,                0.93537,                0.93256,                0.79701,                0.86021,                 0.7755,                0.51276,                0.48965,                0.92567,             4.6156e-05,             4.6156e-05,             4.6156e-05
                    125,                0.48898,                0.36263,                0.93186,                0.93292,                0.80277,                0.86038,                0.77434,                0.51097,                0.48658,                0.92799,             4.5572e-05,             4.5572e-05,             4.5572e-05
                    126,                0.49124,                0.36065,                0.93201,                0.92699,                0.80547,                0.86306,                0.77693,                0.50828,                 0.4964,                0.92696,             4.4987e-05,             4.4987e-05,             4.4987e-05
                    127,                0.48361,                0.36116,                0.92909,                 0.9319,                0.80044,                0.85956,                0.77462,                0.50701,                0.48987,                0.92561,             4.4403e-05,             4.4403e-05,             4.4403e-05
                    128,                0.48612,                0.36206,                0.92886,                0.92986,                0.80497,                 0.8621,                 0.7782,                0.50652,                0.49324,                0.92469,             4.3819e-05,             4.3819e-05,             4.3819e-05
                    129,                0.48098,                0.35452,                 0.9274,                 0.9329,                0.80009,                0.86123,                0.77544,                0.50898,                0.49434,                0.92502,             4.3235e-05,             4.3235e-05,             4.3235e-05
                    130,                0.47954,                0.34798,                0.92585,                0.93117,                0.79971,                0.86086,                0.77487,                0.50993,                0.49362,                0.92595,             4.2651e-05,             4.2651e-05,             4.2651e-05
                    131,                0.48925,                0.35333,                0.92341,                0.92997,                0.80086,                0.86001,                0.77649,                0.51395,                0.48977,                0.93142,             4.2067e-05,             4.2067e-05,             4.2067e-05
